sampleID	condition	resistance	species	batch	country	counting_method	study
Tie1	Tiefora	resistant	coluzzii	1	Burkina Faso	Hisat2 + featureCounts	bf_williams
Tie2	Tiefora	resistant	coluzzii	1	Burkina Faso	Hisat2 + featureCounts	bf_williams
Tie3	Tiefora	resistant	coluzzii	1	Burkina Faso	Hisat2 + featureCounts	bf_williams
Ban1	Ban	resistant	coluzzii	2	Burkina Faso	Hisat2 + featureCounts	bf_ingham
Ban2	Ban	resistant	coluzzii	2	Burkina Faso	Hisat2 + featureCounts	bf_ingham
Ban3	Ban	resistant	coluzzii	2	Burkina Faso	Hisat2 + featureCounts	bf_ingham
Ban4	Ban	resistant	coluzzii	2	Burkina Faso	Hisat2 + featureCounts	bf_ingham
Bak1	Bak	resistant	gambiae	3	Burkina Faso	Hisat2 + featureCounts	bf_ingham
Bak2	Bak	resistant	gambiae	3	Burkina Faso	Hisat2 + featureCounts	bf_ingham
Bak3	Bak	resistant	gambiae	3	Burkina Faso	Hisat2 + featureCounts	bf_ingham
Bak4	Bak	resistant	gambiae	3	Burkina Faso	Hisat2 + featureCounts	bf_ingham
VK71	VK7	resistant	coluzzii	3	Burkina Faso	Hisat2 + featureCounts	bf_williams
VK72	VK7	resistant	coluzzii	3	Burkina Faso	Hisat2 + featureCounts	bf_williams
VK73	VK7	resistant	coluzzii	3	Burkina Faso	Hisat2 + featureCounts	bf_williams
VK74	VK7	resistant	coluzzii	3	Burkina Faso	Hisat2 + featureCounts	bf_williams
BanRe1	BanRe	resistant	coluzzii	2	Burkina Faso	Hisat2 + featureCounts	bf_ingham
BanRe2	BanRe	resistant	coluzzii	2	Burkina Faso	Hisat2 + featureCounts	bf_ingham
BanRe3	BanRe	resistant	coluzzii	2	Burkina Faso	Hisat2 + featureCounts	bf_ingham
BanRe4	BanRe	resistant	coluzzii	2	Burkina Faso	Hisat2 + featureCounts	bf_ingham
Chad1	Chad	resistant	coluzzii	4	Chad	Kallisto	mc_ibrahim
Chad2	Chad	resistant	coluzzii	4	Chad	Kallisto	mc_ibrahim
Chad3	Chad	resistant	coluzzii	4	Chad	Kallisto	mc_ibrahim
Chad4	Chad	resistant	coluzzii	4	Chad	Kallisto	mc_ibrahim
Chad5	Chad	resistant	coluzzii	4	Chad	Kallisto	mc_ibrahim
Chad6	Chad	resistant	coluzzii	4	Chad	Kallisto	mc_ibrahim
Nigeria1	Nigeria	resistant	coluzzii	4	Nigeria	Kallisto	mc_ibrahim
Nigeria2	Nigeria	resistant	coluzzii	4	Nigeria	Kallisto	mc_ibrahim
Nigeria3	Nigeria	resistant	coluzzii	4	Nigeria	Kallisto	mc_ibrahim
Nigeria4	Nigeria	resistant	coluzzii	4	Nigeria	Kallisto	mc_ibrahim
Nigeria5	Nigeria	resistant	coluzzii	4	Nigeria	Kallisto	mc_ibrahim
Nigeria6	Nigeria	resistant	coluzzii	4	Nigeria	Kallisto	mc_ibrahim
Cameroon1	Cameroon	resistant	coluzzii	4	Cameroon	Kallisto	mc_ibrahim
Cameroon2	Cameroon	resistant	coluzzii	4	Cameroon	Kallisto	mc_ibrahim
Cameroon3	Cameroon	resistant	coluzzii	4	Cameroon	Kallisto	mc_ibrahim
Cameroon4	Cameroon	resistant	coluzzii	4	Cameroon	Kallisto	mc_ibrahim
Cameroon5	Cameroon	resistant	coluzzii	4	Cameroon	Kallisto	mc_ibrahim
Niger1	Niger	resistant	coluzzii	4	Niger	Kallisto	mc_ibrahim
Niger2	Niger	resistant	coluzzii	4	Niger	Kallisto	mc_ibrahim
Niger3	Niger	resistant	coluzzii	4	Niger	Kallisto	mc_ibrahim
Niger4	Niger	resistant	coluzzii	4	Niger	Kallisto	mc_ibrahim
Niger5	Niger	resistant	coluzzii	4	Niger	Kallisto	mc_ibrahim
Niger6	Niger	resistant	coluzzii	4	Niger	Kallisto	mc_ibrahim
NG_Jess1	Ngousso	susceptible	coluzzii	1	Cameroon	Hisat2 + featureCounts	bf_ingham
NG_Jess2	Ngousso	susceptible	coluzzii	1	Cameroon	Hisat2 + featureCounts	bf_ingham
NG_Jess3	Ngousso	susceptible	coluzzii	1	Cameroon	Hisat2 + featureCounts	bf_ingham
Kis1	Kisumu	susceptible	gambiae	3	Kenya	Hisat2 + featureCounts	bf_ingham
Kis2	Kisumu	susceptible	gambiae	3	Kenya	Hisat2 + featureCounts	bf_ingham
Kis3	Kisumu	susceptible	gambiae	3	Kenya	Hisat2 + featureCounts	bf_ingham
Kis4	Kisumu	susceptible	gambiae	3	Kenya	Hisat2 + featureCounts	bf_ingham
BanS1	BanS	susceptible	coluzzii	2	BanS	Hisat2 + featureCounts	bf_ingham
BanS2	BanS	susceptible	coluzzii	2	BanS	Hisat2 + featureCounts	bf_ingham
BanS3	BanS	susceptible	coluzzii	2	BanS	Hisat2 + featureCounts	bf_ingham
BanS4	BanS	susceptible	coluzzii	2	BanS	Hisat2 + featureCounts	bf_ingham
NG_Crete1	Ngousso	susceptible	coluzzii	5	Cameroon	Hisat2 + featureCounts	bf_ingham
NG_Crete2	Ngousso	susceptible	coluzzii	5	Cameroon	Hisat2 + featureCounts	bf_ingham
NG_Crete3	Ngousso	susceptible	coluzzii	5	Cameroon	Hisat2 + featureCounts	bf_ingham
NG_Sul1	Ngousso	susceptible	coluzzii	4	Cameroon	Kallisto	mc_ibrahim
NG_Sul2	Ngousso	susceptible	coluzzii	4	Cameroon	Kallisto	mc_ibrahim
NG_Sul3	Ngousso	susceptible	coluzzii	4	Cameroon	Kallisto	mc_ibrahim
Agboville1	Agboville	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Agboville2	Agboville	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Agboville3	Agboville	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Agboville4	Agboville	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Agboville5	Agboville	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Agboville6	Agboville	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Agboville7	Agboville	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Agboville8	Agboville	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Agboville9	Agboville	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Dabou1	Dabou	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Dabou2	Dabou	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Dabou3	Dabou	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Dabou4	Dabou	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Dabou5	Dabou	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Dabou6	Dabou	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Dabou7	Dabou	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Dabou8	Dabou	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Dabou9	Dabou	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Dabou10	Dabou	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Tiassale1	Tiassale	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Tiassale2	Tiassale	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Tiassale3	Tiassale	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Tiassale4	Tiassale	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Tiassale5	Tiassale	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Tiassale6	Tiassale	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Tiassale7	Tiassale	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Tiassale8	Tiassale	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Tiassale9	Tiassale	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Tiassale10	Tiassale	resistant	coluzzii	6	Cote d'Ivoire	STAR + featureCounts	ci_wipf
Ngousso_Wipf1	Ngousso	susceptible	coluzzii	6	Cameroon	STAR + featureCounts	ci_wipf
Ngousso_Wipf2	Ngousso	susceptible	coluzzii	6	Cameroon	STAR + featureCounts	ci_wipf
Ngousso_Wipf3	Ngousso	susceptible	coluzzii	6	Cameroon	STAR + featureCounts	ci_wipf
Ngousso_Wipf4	Ngousso	susceptible	coluzzii	6	Cameroon	STAR + featureCounts	ci_wipf
Ngousso_Wipf5	Ngousso	susceptible	coluzzii	6	Cameroon	STAR + featureCounts	ci_wipf
Mali1	Mali	susceptible	coluzzii	6	Mali	STAR + featureCounts	ci_wipf
Mali2	Mali	susceptible	coluzzii	6	Mali	STAR + featureCounts	ci_wipf
Mali3	Mali	susceptible	coluzzii	6	Mali	STAR + featureCounts	ci_wipf
Mali4	Mali	susceptible	coluzzii	6	Mali	STAR + featureCounts	ci_wipf
Mali5	Mali	susceptible	coluzzii	6	Mali	STAR + featureCounts	ci_wipf
Bouake_Kisumu1	Kisumu	susceptible	gambiae	10	Kenya	Kallisto	ci_nagi
Bouake_Kisumu2	Kisumu	susceptible	gambiae	10	Kenya	Kallisto	ci_nagi
Bouake_Kisumu3	Kisumu	susceptible	gambiae	10	Kenya	Kallisto	ci_nagi
Bouake_Kisumu4	Kisumu	susceptible	gambiae	10	Kenya	Kallisto	ci_nagi
Bouake_colu_unexp1	Bouake_colu_unexp	resistant	coluzzii	11	Cote d'Ivoire	Kallisto	ci_nagi
Bouake_colu_unexp2	Bouake_colu_unexp	resistant	coluzzii	11	Cote d'Ivoire	Kallisto	ci_nagi
Bouake_colu_unexp3	Bouake_colu_unexp	resistant	coluzzii	11	Cote d'Ivoire	Kallisto	ci_nagi
Bouake_colu_unexp4	Bouake_colu_unexp	resistant	coluzzii	11	Cote d'Ivoire	Kallisto	ci_nagi
Bouake_Ngousso1	Ngousso	susceptible	coluzzii	11	Cameroon	Kallisto	ci_nagi
Bouake_Ngousso2	Ngousso	susceptible	coluzzii	11	Cameroon	Kallisto	ci_nagi
Bouake_Ngousso3	Ngousso	susceptible	coluzzii	11	Cameroon	Kallisto	ci_nagi
Bouake_Ngousso4	Ngousso	susceptible	coluzzii	11	Cameroon	Kallisto	ci_nagi
Bouake_gamb_unexp1	Bouake_gamb_unexp	resistant	gambiae	10	Cote d'Ivoire	Kallisto	ci_nagi
