GeneID	Tiefora_v_NG_log2FoldChange	Gou_v_Moz_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kis_log2FoldChange	VK7_v_Kis_log2FoldChange	Cameroon_v_NG_log2FoldChange	Chad_v_NG_log2FoldChange	Niger_v_NG_log2FoldChange	Nigeria_v_NG_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_NG_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_NG_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_NG_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	Bouake_gamb_exp_v_Bouake_Ki_log2FoldChange	Bouake_gamb_unexp_v_Bouake_Ki_log2FoldChange	Bouake_col_exp_v_Bouake_Ng_log2FoldChange	Bouake_col_unexp_v_Bouake_Ng_log2FoldChange	ContTia_v_CDI_Ng_log2FoldChange	DeltTia_v_CDI_Ng_log2FoldChange	MalaTia_v_CDI_Ng_log2FoldChange	PiriTia_v_CDI_Ng_log2FoldChange	BusiaParental_v_Kisumu_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	GeneName	GeneDescription
AGAP007364	2.61	0.19	1.11	-1.37	-0.46	-0.93	0.95	-0.25	1.32	0.89	0.67	1.58	1.5	2.39	2.59	3.5	0.16	-0.83	0	-0.46	0	-0.61	-0.99	-0.55	1.15	0.57	0.88	1.87	1.99	4.05	5.41	5.16	4.31	-0.77	-1.54	""	""
AGAP010071	2.32	-0.27	2.4	0.32	0.33	0.56	1.78	1.7	1.56	1.6	0.49	2.22	0.26	1.99	0.24	1.97	-0.76	-1.11	-0.61	-0.44	-0.73	0.56	0.34	0.33	0.53	0.18	-0.16	2.26	2.43	2.56	2.76	2.93	2.68	0.42	-0.03	""	acyl-CoA synthetase [Source:VB Community Annotation]
AGAP007774	1.77	0.66	1.02	0.15	0.13	0.43	0.02	-0.07	0.01	0	0.11	1.42	0.21	1.51	0.36	1.66	0.61	0.22	0.01	0.11	-0.09	1.01	0.17	0.95	0.57	0.33	0.27	0.94	1.24	2.41	2.06	2.33	2.33	-0.67	-1.37	""	""
AGAP006191	-3.89	1.92	-2.29	-0.75	1.35	-1.98	-5.57	-5.78	-5.55	-5.04	5.21	-2.4	3.87	-3.73	4.41	-3.18	0.67	3.77	1.21	2.85	0.63	0.52	3.46	1.39	-6.54	-1.8	0.51	-5.51	-5.96	-5.08	-4.15	-5.09	-5.33	1.58	-0.71	Cht24	chitinase [Source:VB Community Annotation]
AGAP005809	2.01	0.23	1.89	-0.15	1.02	1.46	0.38	-0.37	0.08	-0.07	0.18	0.13	0.33	0.28	0.54	0.49	-0.49	-0.42	-0.21	-0.33	-0.26	-0.45	-0.42	-0.02	-0.7	0.04	0.17	-0.1	-0.11	-0.5	-0.57	-0.59	-0.38	0.41	0.17	""	protein phosphatase inhibitor 2 [Source:VB Community Annotation]
AGAP010313	-1.36	0.25	-0.6	-0.56	0.55	0.54	-1.16	-1.08	-0.95	-0.95	0.18	0.27	0.14	0.22	0.42	0.5	-0.14	-0.5	-0.25	-0.17	-0.41	0.56	0.47	0.39	0.44	0.43	0.52	-0.43	-0.29	-0.42	-0.16	-0.08	-0.03	0.85	0.45	""	serine/threonine-protein kinase ATR [Source:VB Community Annotation]
AGAP002865	-4.26	-1.02	-1.26	0.71	-2.07	-3.93	-1.34	-2	-0.51	0.21	-3.84	-5.94	-4.09	-6.19	-4.31	-6.41	0.6	-0.68	-4.9	-0.98	-2.97	-2.36	-4.65	-2.75	-0.42	-1.22	-1.02	-5.49	-5.2	-8.28	-6.76	-7.87	-8.41	2.79	3.3	CYP6P3	cytochrome P450 [Source:VB Community Annotation]
AGAP010794	2.29	-0.2	3.12	1.36	-0.75	0.31	1.56	1.38	1.28	2	-0.74	0.37	-0.96	0.15	-0.71	0.4	0.04	-0.18	0.3	-0.2	0.19	0.19	-0.03	0.36	-0.63	-0.29	0.24	1.77	1.18	0.37	0.53	1.28	0.9	-0.47	-0.74	""	""
AGAP008288	-1.13	-1.11	0.03	0.27	0.38	1.18	0.4	-0.35	0.5	1.4	-0.72	-1.52	-0.65	-1.47	-0.91	-1.71	-0.41	-0.73	-0.37	-0.53	-0.49	0.69	-0.63	0.23	-0.62	1.08	1.39	0.83	1.02	1.23	0.66	1.13	1.36	1.6	1.78	TIM	timeless [Source:VB Community Annotation]
AGAP000743	-1.55	0.06	-0.55	0.75	-0.23	-0.01	-1.91	-1.26	-1.65	-2.19	0.44	0.83	-0.49	-0.1	-1.2	-0.82	0.14	0.42	0.37	0.55	0.3	1.41	1.56	1.28	-1.12	-0.8	-0.92	-0.72	-0.46	0.34	-0.14	0.13	0.27	-0.22	1.54	""	""
