GeneID	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AFUN001443	-1.98	-1.05	-1.96	-1.83	-1.94
AFUN021539	-3.05	-1.6	-3.12	-3.32	-3.21
AFUN018837	3.58	3.06	3.16	2.87	3.56
AFUN019313	-2.51	-2.51	-1.48	-1.84	-1.22
AFUN009835	1.36	0.77	0.97	0.9	0.92
AFUN017067	4.17	4.31	3.89	3.73	4.14
AFUN021295	-1.13	-1.21	-1.08	-0.82	-1.17
AFUN018392	3.07	3.19	3.51	2.93	3.25
AFUN019933	1.69	0.41	1.53	1.19	1.56
AFUN001395	-3.8	-3.76	-3.6	-3.08	-3.51
AFUN019220	3.18	3.4	3.36	2.82	3.04
AFUN022352	-0.84	-0.54	-0.77	-0.71	-0.76
AFUN003293	-1.34	-1.27	-1.63	-1.56	-1.56
AFUN016077	-2.36	-1.28	-2.21	-2.29	-2.07
AFUN006060	-1.12	-0.9	-1.07	-0.82	-1.02
AFUN005197	-1.88	-1.03	-1.95	-1.94	-2.09
AFUN021538	-2.35	-1.72	-2.27	-2.25	-2.29
AFUN008120	-2.0	-1.52	-1.75	-1.68	-1.87
AFUN007755	-1.24	-0.55	-0.71	-0.55	-0.47
AFUN007105	-1.3	-0.81	-0.98	-0.92	-0.94
AFUN017743	3.11	3.27	3.3	2.74	3.56
AFUN001578	-1.92	-0.8	-2.16	-0.96	-2.05
AFUN019110	1.62	0.96	1.16	1.46	1.51
AFUN016389	0.88	0.85	0.69	0.67	0.87
AFUN004072	1.36	0.93	0.77	0.86	0.83
AFUN001129	-4.74	-0.67	-2.05	-1.53	-2.42
AFUN017456	3.85	4.14	3.78	3.59	4.07
AFUN003724	3.05	2.83	2.3	2.42	2.7
AFUN006977	-1.04	-0.71	-1.02	-0.86	-1.34
AFUN005935	1.21	0.41	0.55	0.7	0.71
AFUN007295	0.78	0.76	0.52	0.63	0.64
AFUN018876	1.1	0.96	0.9	1.26	0.96
AFUN003709	-1.46	-1.1	-1.24	-1.22	-1.3
AFUN009316	-1.31	-1.12	-1.43	-1.37	-1.49
AFUN019069	1.95	2.07	1.87	1.54	2.18
AFUN016147	1.93	0.94	1.76	1.67	1.79
AFUN006509	0.95	0.68	0.51	0.75	0.69
AFUN018844	-3.64	-0.22	-2.47	-1.31	-2.71
AFUN001888	1.49	1.0	0.86	1.0	1.15
AFUN008508	1.52	1.48	1.22	1.26	1.2
AFUN005257	-3.16	-1.27	-2.63	-2.4	-3.11
AFUN006735	-1.71	-1.55	-1.77	-1.36	-1.88
AFUN015888	3.7	-0.13	3.42	0.19	2.83
AFUN007833	0.96	0.88	0.77	0.69	0.84
AFUN010132	-0.68	-0.63	-0.78	-0.79	-0.8
AFUN015159	1.26	0.83	0.95	0.95	1.0
AFUN022150	-1.2	-0.88	-1.1	-1.04	-1.4
AFUN000302	-1.36	-1.41	-1.13	-1.26	-0.95
AFUN009334	-0.62	-0.59	-0.58	-0.68	-0.58
AFUN019358	1.76	0.24	2.23	1.28	1.59
AFUN002640	1.63	1.55	1.6	1.44	1.76
AFUN001473	-1.84	-1.18	-1.9	-1.8	-1.92
AFUN002709	-0.65	-0.37	-0.57	-0.35	-0.39
AFUN007155	-1.92	-0.19	-1.84	-1.03	-1.72
AFUN008650	0.78	0.45	0.6	0.57	0.68
AFUN019150	1.32	-0.09	0.23	0.29	0.38
AFUN003274	-1.89	-1.15	-1.4	-1.64	-1.72
AFUN020029	-1.41	-1.22	-0.93	-1.18	-1.09
AFUN022310	-1.34	-1.39	-1.4	-1.23	-1.37
AFUN018662	-0.72	-0.37	-0.62	-0.29	-0.57
AFUN010316	0.91	0.68	0.48	0.6	0.57
AFUN016062	-1.28	-0.78	-0.86	-0.87	-1.15
AFUN005564	1.1	0.93	0.56	0.78	0.85
AFUN014659	-2.55	-2.39	-1.95	-2.65	-2.76
AFUN000452	0.64	0.57	0.47	0.56	0.61
AFUN001142	0.93	0.73	0.67	0.72	0.88
AFUN021969	1.13	0.86	0.86	0.89	0.96
AFUN016130	1.32	1.21	1.21	1.33	1.26
AFUN021417	-2.36	-2.3	-2.37	-2.41	-2.59
AFUN019681	-2.25	-1.64	-1.6	-1.55	-1.64
AFUN011437	-0.89	-0.64	-0.77	-0.82	-0.7
AFUN007103	-1.2	-0.74	-1.45	-1.1	-1.42
AFUN009819	1.23	1.14	1.01	0.92	1.16
AFUN003218	0.65	0.6	0.14	0.42	0.18
AFUN019802	0.84	0.89	0.89	0.15	0.88
AFUN021918	-1.51	-0.14	-1.84	-0.83	-1.3
AFUN001321	-1.42	-1.13	-1.06	-1.17	-1.36
AFUN011326	0.95	0.26	0.65	0.3	0.66
AFUN016128	1.46	1.34	1.53	1.46	1.46
AFUN020642	-1.15	-0.68	-0.9	-0.83	-0.77
AFUN021496	1.46	1.07	1.75	1.75	1.78
AFUN010052	1.34	1.08	1.06	1.19	1.35
AFUN021736	2.65	1.42	2.74	1.76	1.48
AFUN003350	-2.25	-1.09	-1.75	-1.8	-1.8
AFUN021411	-1.26	-0.96	-1.42	-1.51	-1.43
AFUN002585	-1.59	-0.92	-1.7	-1.62	-1.72
AFUN020459	1.71	1.55	1.54	1.45	1.45
AFUN019166	0.65	0.41	0.16	0.26	0.19
AFUN019660	-1.11	-1.24	-1.1	-0.82	-1.04
AFUN002085	-2.15	-2.15	-2.17	-1.25	-2.0
AFUN014058	2.11	1.6	1.21	1.43	1.28
AFUN011641	-2.25	-3.35	-0.69	-0.31	-0.5
AFUN014842	1.09	1.03	0.77	0.69	0.81
AFUN006200	-1.38	-0.86	-1.15	-1.29	-1.22
AFUN003793	1.95	2.15	1.79	1.87	2.0
AFUN020448	-0.86	-0.77	-0.78	-0.79	-0.89
AFUN020097	-1.85	-0.57	-1.39	-1.73	-1.9
AFUN007303	-1.42	-0.98	-1.48	-1.37	-1.54
AFUN007459	-2.05	0.44	-1.37	-1.47	-1.46
