GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu
AGAP007364	-2.62	-1.02	1.33	0.41	0.89	-1.04	0.12	-1.44	-1.0	-0.53	-2.29	-1.02	-2.8	-2.29	-4.05	-0.9	-2.01	1.47
AGAP010071	-2.34	-2.31	-0.36	-0.37	-0.59	-1.87	-1.82	-1.67	-1.71	-0.51	-2.19	-0.28	-1.98	-0.26	-1.95	0.14	-2.45	-0.04
AGAP007774	-1.78	-0.93	-0.19	-0.17	-0.47	-0.12	-0.06	-0.12	-0.11	-0.12	-1.38	-0.23	-1.5	-0.38	-1.64	-0.29	-1.25	1.3
AGAP006191	3.88	2.37	0.7	-1.39	1.94	5.45	5.67	5.43	4.92	-4.78	2.32	-3.75	3.34	-4.11	2.99	-0.53	5.94	0.64
AGAP005809	-2.02	-1.8	0.11	-1.07	-1.5	-0.47	0.25	-0.19	-0.04	-0.19	-0.1	-0.35	-0.27	-0.56	-0.47	-0.19	0.09	-0.25
AGAP002865	4.24	1.35	-0.75	2.03	3.9	1.25	1.86	0.4	-0.32	4.81	3.8	5.39	4.37	4.71	3.71	1.01	5.18	-3.38
AGAP012091	-3.42	-1.23	0.19	-2.34	-1.97	-1.07	-1.27	-1.19	-1.42	-0.02	0.06	-0.22	-0.16	-0.51	-0.43	-3.04	-3.82	0.73
AGAP028564	-7.16	4.46	3.87	-5.78	-8.6	0.47	-0.3	1.06	0.71	4.33	-4.14	4.68	-3.81	3.71	-4.73	-1.42	-1.13	-3.74
AGAP010794	-2.3	-3.03	-1.41	0.71	-0.35	-1.65	-1.51	-1.39	-2.11	0.73	-0.34	0.94	-0.14	0.69	-0.37	-0.25	-1.2	0.67
AGAP006089	-1.73	-1.87	-0.37	-1.47	-1.65	-0.12	0.42	0.17	0.08	-0.36	-0.42	-0.39	-0.46	-0.72	-0.78	-0.03	-0.21	-0.81
AGAP007285	2.81	0.82	-0.57	0.17	-0.61	-0.09	1.93	2.21	1.55	2.29	-1.13	2.05	-1.38	2.08	-1.33	-0.72	-0.03	-0.38
AGAP008218	2.63	0.57	-2.16	2.55	4.33	3.46	1.54	2.06	1.5	1.36	2.1	0.47	1.19	0.35	1.09	1.32	6.88	0.61
AGAP006017	-1.48	-1.16	0.11	-1.53	-1.36	-0.2	0.29	-0.11	-0.06	-1.09	-0.97	-1.22	-1.12	-1.62	-1.49	-0.22	-0.07	0.43
AGAP010975	-2.32	-2.26	-0.79	0.58	0.28	-1.16	-0.95	-1.68	-1.76	0.99	0.93	1.17	1.09	0.49	0.42	-1.16	0.48	1.11
AGAP000743	1.54	0.64	-0.79	0.19	-0.03	1.83	1.13	1.55	2.08	-0.45	-0.8	0.47	0.11	1.2	0.86	0.9	0.43	-1.61
AGAP005783	-1.91	-0.79	0.26	-1.05	-0.87	-0.15	-0.25	-1.11	-1.14	-0.55	-0.83	-0.72	-1.01	-1.08	-1.35	-0.24	0.1	-1.24
AGAP008291	-3.54	-0.49	1.52	-1.45	2.28	-1.64	-2.54	-5.02	-7.04							-1.63	3.01	-1.11
