GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu	Asendabo_v_Moz	Chewaka_v_Moz	Tolay_v_Moz	Ethiopia_v_Dongola	Gou_v_Moz
AGAP007364	-2.61	-1.02	1.32	0.42	0.89	-1.03	0.12	-1.44	-1.0	-0.53	-2.29	-1.02	-2.79	-2.3	-4.05	-0.9	-2.0	1.46	0.69	1.02	0.65	-1.1	-0.14
AGAP010071	-2.33	-2.3	-0.37	-0.36	-0.59	-1.86	-1.82	-1.66	-1.71	-0.52	-2.18	-0.29	-1.96	-0.28	-1.94	0.14	-2.44	-0.05	-0.5	-0.31	-0.24	-0.48	0.31
AGAP007774	-1.77	-0.93	-0.2	-0.17	-0.46	-0.11	-0.06	-0.12	-0.11	-0.13	-1.37	-0.24	-1.49	-0.39	-1.63	-0.29	-1.25	1.29	-0.93	-0.13	-0.86	-0.52	-0.61
AGAP005809	-2.01	-1.8	0.1	-1.06	-1.5	-0.46	0.25	-0.18	-0.04	-0.2	-0.09	-0.36	-0.26	-0.58	-0.46	-0.19	0.09	-0.26	0.52	0.45	0.11	0.75	-0.18
AGAP006191	3.89	2.37	0.69	-1.38	1.94	5.46	5.67	5.43	4.95	-5.23	2.44	-3.89	3.76	-4.45	3.21	-0.53	5.95	0.63	-0.46	-3.44	-1.31	6.59	-1.91
AGAP002865	4.26	1.36	-0.76	2.03	3.9	1.26	1.87	0.41	-0.32	3.82	5.98	4.07	6.22	4.28	6.45	1.0	5.19	-3.39	2.41	4.7	2.84	0.47	1.07
AGAP028564	-7.15	4.46	3.86	-5.77	-8.6	0.48	-0.29	1.07	0.72	4.32	-4.13	4.68	-3.79	3.7	-4.73	-1.42	-1.13	-3.75	-0.51	-0.66	0.24	-1.11	2.93
AGAP010794	-2.29	-3.03	-1.41	0.71	-0.34	-1.64	-1.51	-1.39	-2.11	0.72	-0.33	0.93	-0.13	0.68	-0.37	-0.25	-1.19	0.66	-0.12	0.06	-0.27	0.68	0.25
AGAP007285	2.82	0.82	-0.58	0.17	-0.61	-0.09	1.94	2.22	1.55	2.28	-1.12	2.04	-1.37	2.07	-1.32	-0.72	-0.02	-0.39	-0.53	-0.05	-0.7	0.71	1.55
AGAP008218	2.64	0.58	-2.17	2.55	4.33	3.46	1.54	2.07	1.5	1.35	2.11	0.46	1.2	0.34	1.1	1.32	6.89	0.6	1.27	1.98	0.7	-0.85	1.14
AGAP006017	-1.47	-1.15	0.1	-1.52	-1.36	-0.2	0.29	-0.11	-0.06	-1.1	-0.96	-1.23	-1.1	-1.63	-1.48	-0.22	-0.07	0.42	0.75	0.72	0.59	0.1	0.27
AGAP000743	1.55	0.64	-0.8	0.19	-0.03	1.84	1.13	1.55	2.08	-0.46	-0.79	0.47	0.12	1.2	0.88	0.9	0.44	-1.62	-1.34	-1.53	-1.18	1.17	-0.01
AGAP005783	-1.9	-0.79	0.25	-1.05	-0.87	-0.14	-0.24	-1.1	-1.14	-0.56	-0.82	-0.72	-0.99	-1.09	-1.34	-0.23	0.11	-1.25	0.23	0.41	0.23	-0.97	0.64
AGAP008291	-3.53	-0.49	1.51	-1.45	2.28	-1.64	-2.52	-5.02	-7.04	2.12	2.02	1.49	1.39	1.31	1.21	-1.62	3.02	-1.12	1.04	2.74	2.07	-1.11	-2.62
AGAP008331	2.13	-0.04	-0.68	0.93	1.67	2.02	1.72	1.65	1.3	0.68	1.06	0.5	0.86	0.33	0.71	1.03	2.22	4.42	-0.12	0.2	-0.21	-0.04	-0.17
AGAP000363	1.65	0.83	-0.93	0.13	-0.31	0.27	0.27	-0.55	-0.87	-0.07	0.22	0.0	0.27	0.05	0.35	0.76	0.12	-1.5	-1.37	-1.31	-1.42	-0.19	0.13
AGAP011475	-5.6	-8.55	-1.4	1.55	0.86	-8.12	-7.21	-6.59	-4.75	0.34	3.18	-1.84	0.98	2.5	5.33	1.68	-4.53	3.28	1.11	1.5	4.18	3.16	2.74
AGAP000037	1.67	0.51	-1.06	0.28	-0.04	0.56	0.25	-0.39	-0.8	-1.27	-0.04	-1.34	-0.11	-1.58	-0.33	0.87	0.12	-1.2	-2.12	-1.96	-2.14	-0.77	0.18
AGAP006339	-1.92	-1.19	-0.42	-0.31	-0.17	0.03	0.08	-0.74	-0.87	-0.28	0.11	-0.18	0.19	-0.37	0.02	-0.39	0.07	0.21	-0.13	0.18	0.12	-0.03	0.19
AGAP010313	1.36	0.7	0.51	-0.58	-0.58	1.07	0.96	0.85	0.84	-0.21	-0.23	-0.17	-0.2	-0.45	-0.47	-0.54	0.28	-0.53	-0.5	-0.44	-0.3	-0.39	-0.21
AGAP006935	-2.1	-0.9	0.63	-0.13	-0.39	-0.31	0.49	-0.32	-0.36	-0.78	-1.35	-1.05	-1.64	-1.56	-2.13	-0.87	-0.96	1.46	1.0	0.96	1.01	-0.16	1.0
AGAP005978	-1.35	-0.38	0.45	-1.01	-1.16	-0.32	0.17	-0.37	-0.4	0.2	-1.14	-0.04	-1.4	-0.21	-1.55	-0.69	-0.95	0.52	0.14	0.25	-0.01	-0.21	0.16
AGAP006729	-1.59	-0.54	-0.52	-0.72	0.36	-0.64	-0.3	-1.18	-1.41	2.13	1.47	2.76	2.08	1.37	0.71	-0.08	1.47	-1.32	1.43	1.97	1.92	1.01	0.44
AGAP008288	1.12	0.07	-0.32	-0.41	-1.21	-0.49	0.23	-0.6	-1.51	0.7	1.57	0.62	1.48	0.87	1.75	-1.4	-1.03	-1.87	-0.62	0.66	-0.14	0.67	1.15
AGAP006961	-1.51	-0.53	1.19	-0.33	-1.58	-1.05	-1.09	-0.98	-0.74	-0.3	-0.2	-0.47	-0.38	-0.01	0.09	-2.93	-1.01	-2.95	1.23	0.88	0.46	-0.6	-0.83
AGAP000792	-1.17	-0.86	-0.43	-0.45	0.8	0.37	0.29	-0.44	-0.34	-1.17	-1.04	-0.76	-0.65	-1.72	-1.59	-0.51	1.21	0.34	0.84	0.38	0.66	0.06	0.68
AGAP003373	-1.98	-1.26	-0.35	-0.26	-0.28	-2.26	-1.34	-1.77	-1.69	-0.86	-0.07	-0.85	-0.08	-0.12	0.67	-0.7	-1.48	1.17	1.05	0.66	0.65	-0.12	0.98
AGAP003933	1.46	0.47	-1.3	0.13	-0.16	0.28	-0.13	-0.25	-0.42	-0.35	0.42	-0.36	0.4	-0.29	0.48	0.64	-0.06	-1.18	-1.39	-1.37	-1.04	0.21	0.1
AGAP008083	1.8	0.29	-1.07	0.68	-0.35	-0.62	-1.41	-1.3	-0.97	-0.57	0.65	-1.0	0.21	-0.66	0.57	-0.41	-0.23	-0.78	0.03	-1.24	-0.7	0.27	-0.37
AGAP011318	1.25	0.93	-0.89	0.13	-0.25	0.22	-0.19	-0.37	-0.68	-0.02	0.55	-0.01	0.55	0.53	1.1	0.48	0.07	-1.34	-0.21	-0.24	-0.07	0.11	0.03
AGAP006699	-1.83	-1.27	-0.1	-0.86	0.3	0.76	0.22	0.27	0.3	-0.5	0.63	-0.4	0.71	-0.81	0.32	0.82	1.51	-0.91	1.4	0.46	0.67	0.09	-0.06
AGAP004870	-1.25	-0.58	0.33	0.05	-0.14	-0.48	0.19	-0.13	-0.18	-0.5	-0.63	-0.6	-0.75	-0.64	-0.76	-0.67	-0.74	0.74	0.77	0.61	0.64	-0.63	0.26
AGAP006478	-1.37	-0.95	0.11	-1.14	-1.34	0.35	0.76	0.45	0.43	-1.53	-1.29	-1.43	-1.19	-1.67	-1.43	-0.28	-0.53	0.01	0.41	0.02	0.23	-0.38	0.42
AGAP012982	1.0	0.59	-1.09	0.29	0.21	0.25	-0.85	-0.62	-0.53	-0.4	1.13	-0.54	0.98	0.49	2.03	0.83	1.13	-0.95	-0.78	-0.87	-0.89	-0.09	0.01
AGAP007793	2.5	-0.16	-0.69	-0.68	-0.07	-0.05	0.71	0.37	0.18	0.63	0.81	1.15	1.31	-0.25	-0.07	1.57	1.03	-0.45	0.17	0.53	-0.16	-0.33	-0.94
