GeneID	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AFUN001443	0.0		0.0	0.0	0.0
AFUN021539	0.0	0.096	0.0	0.0	0.0
AFUN018837	0.0	0.0	0.0	0.0	0.0
AFUN019313	0.0	0.0	0.0	0.0	0.0
AFUN009835	0.0	0.0	0.0	0.0	0.0
AFUN017067	0.0	0.0	0.0	0.0	0.0
AFUN021295	0.0	0.002	0.0	0.0	0.0
AFUN018392	0.0	0.0	0.0	0.0	0.0
AFUN019933	0.0	0.353	0.0	0.0	0.0
AFUN001395	0.0	0.0	0.0	0.001	0.0
AFUN019220	0.0	0.02	0.0	0.0	0.0
AFUN022352	0.0	0.156	0.0	0.0	0.0
AFUN003293	0.0	0.031	0.0	0.0	0.0
AFUN016077	0.0	0.302	0.0	0.0	0.0
AFUN006060	0.0	0.042	0.0	0.0	0.0
AFUN005197	0.0		0.0	0.0	0.0
AFUN021538	0.0	0.009	0.0	0.0	0.0
AFUN008120	0.0	0.003	0.0	0.0	0.0
AFUN007755	0.0	0.045	0.0	0.012	0.094
AFUN007105	0.0	0.137	0.0	0.009	0.012
AFUN017743	0.0	0.0	0.0	0.0	0.0
AFUN001578	0.0	0.237	0.0	0.001	0.0
AFUN019110	0.0	0.011	0.0	0.0	0.0
AFUN016389	0.0	0.002	0.0	0.0	0.0
AFUN004072	0.0	0.008	0.004	0.0	0.0
AFUN001129	0.0	0.53	0.0	0.014	0.003
AFUN017456	0.0	0.0	0.0	0.0	0.0
AFUN003724	0.0	0.0	0.0	0.0	0.0
AFUN006977	0.0	0.059	0.0	0.0	0.0
AFUN005935	0.0	0.068	0.008	0.0	0.0
AFUN007295	0.0	0.001	0.0	0.0	0.0
AFUN018876	0.0	0.0	0.0	0.001	0.01
AFUN003709	0.0	0.035	0.0	0.0	0.0
AFUN009316	0.0	0.073	0.0	0.0	0.0
AFUN019069	0.0	0.0	0.0	0.0	0.0
AFUN016147	0.0	0.004	0.0	0.0	0.0
AFUN006509	0.0	0.0	0.003	0.0	0.0
AFUN018844	0.0	0.746	0.0	0.013	0.0
AFUN001888	0.0	0.013	0.001	0.0	0.011
AFUN008508	0.0	0.0	0.0	0.0	0.0
AFUN005257	0.0	0.394	0.001	0.0	0.0
AFUN006735	0.0	0.035	0.0	0.0	0.0
AFUN015888	0.0	0.862	0.0	0.757	0.0
AFUN007833	0.0	0.003	0.0	0.0	0.0
AFUN010132	0.0	0.006	0.0	0.0	0.0
AFUN015159	0.0	0.006	0.0	0.0	0.0
AFUN022150	0.0	0.169	0.0	0.0	0.0
AFUN000302	0.0	0.002	0.0	0.0	0.005
AFUN009334	0.0	0.019	0.0	0.001	0.0
AFUN019358	0.0	0.591	0.0	0.0	0.0
AFUN002640	0.0	0.004	0.0	0.0	0.0
AFUN001473	0.0	0.101	0.0	0.0	0.0
AFUN002709	0.0	0.002	0.0	0.265	0.293
AFUN007155	0.0	0.665	0.0	0.0	0.0
AFUN008650	0.0	0.016	0.0	0.002	0.0
AFUN019150	0.0	0.596	0.459	0.192	0.016
AFUN003274	0.0	0.003	0.001	0.0	0.001
AFUN020029	0.0	0.0	0.0	0.0	0.0
AFUN022310	0.0	0.0	0.0	0.0	0.001
AFUN018662	0.0	0.156	0.001	0.513	0.0
AFUN010316	0.0	0.004	0.0	0.0	0.0
AFUN016062	0.0	0.005	0.0	0.0	0.0
AFUN005564	0.0	0.0	0.001	0.0	0.0
AFUN014659	0.0	0.0	0.0	0.0	0.0
AFUN000452	0.0	0.002	0.0	0.0	0.0
AFUN001142	0.0	0.004	0.0	0.0	0.0
