GeneID	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu
AGAP007364	0.0	0.003	0.0	0.031	0.01	0.0	0.818	0.014	0.005	0.574	0.001	0.223	0.0	0.001	0.0	0.004	0.0	0.0
AGAP010071	0.0	0.0	0.16	0.001	0.0	0.0	0.0	0.0	0.0	0.173	0.0	0.467	0.0	0.543	0.0	0.441	0.0	0.791
AGAP007774	0.0	0.0	0.361	0.235	0.0	0.714	0.896	0.671	0.518	0.63	0.0	0.293	0.0	0.037	0.0	0.173	0.0	0.0
AGAP006191	0.0	0.001	0.386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0	0.384	0.0	0.316
AGAP005809	0.0	0.0	0.537	0.0	0.0	0.092	0.305	0.537	0.895	0.497	0.732	0.282	0.352	0.035	0.054	0.126	0.356	0.001
AGAP002865	0.0	0.0	0.006	0.0	0.0	0.0	0.17	0.442	0.734	0.0	0.0	0.0	0.0	0.0	0.0	0.082	0.0	0.0
AGAP012091	0.0	0.0	0.626	0.0	0.0	0.0	0.02	0.001	0.001	0.912	0.81	0.242	0.475	0.061	0.127	0.0	0.0	0.0
AGAP028564	0.0	0.003	0.013	0.0	0.0	0.842	0.922	0.526	0.658	0.075	0.001	0.042	0.003	0.229	0.0	0.0	0.145	0.0
AGAP010794	0.0	0.0	0.0	0.014	0.317	0.0	0.0	0.0	0.0	0.109	0.505	0.002	0.741	0.162	0.484	0.349	0.0	0.0
AGAP006089	0.0	0.0	0.082	0.0	0.0	0.825	0.182	0.716	0.861	0.4	0.186	0.368	0.14	0.08	0.018	0.93	0.309	0.0
AGAP007285	0.0	0.006	0.035	0.612	0.05	0.879	0.003	0.0	0.0	0.0	0.078	0.0	0.022	0.0	0.011	0.0	0.961	0.011
AGAP008218	0.0	0.148	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.006	0.0	0.392	0.011	0.57	0.037	0.0	0.0	0.065
AGAP006017	0.0	0.0	0.516	0.0	0.0	0.582	0.453	0.761	0.861	0.0	0.006	0.0	0.006	0.0	0.0	0.073	0.73	0.0
AGAP010975	0.0	0.0	0.0	0.438	0.742	0.0	0.001	0.0	0.0	0.0	0.0	0.008	0.007	0.429	0.465	0.0	0.042	0.0
AGAP000743	0.0	0.0	0.0	0.336	0.913	0.0	0.002	0.0	0.0	0.281	0.021	0.343	0.844			0.0	0.122	0.0
AGAP005783	0.0	0.0	0.112	0.0	0.0	0.553	0.456	0.0	0.0	0.061	0.009	0.001	0.0	0.0	0.0	0.344	0.715	0.0
AGAP008291	0.0	0.326	0.0	0.037	0.001	0.0	0.022	0.0	0.0							0.081	0.0	0.0
AGAP001194	0.0	0.013	0.0	0.184	0.66	0.674	0.795	0.961	0.818	0.134	0.579	0.123	0.473	0.14	0.558	0.086	0.465	0.0
AGAP011475	0.0	0.0	0.001	0.008	0.265	0.0	0.0	0.0	0.008	0.894	0.212	0.418	0.856	0.156	0.006	0.008	0.0	0.0
AGAP008331	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.078	0.008	0.314	0.065	0.476	0.123	0.0	0.0	0.0
AGAP000363	0.0	0.0	0.0	0.204	0.007	0.541	0.61	0.206	0.04	0.9	0.585	0.994	0.479	0.902	0.411	0.007	0.697	0.0
AGAP006339	0.0	0.0	0.009	0.202	0.558	0.937	0.704	0.001	0.0	0.254	0.831	0.521	0.633	0.224	0.982	0.083	0.845	0.058
AGAP000037	0.0	0.04	0.0	0.069	0.841	0.157	0.617	0.469	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.762	0.0
AGAP005987	0.0	0.0	0.0	0.262	0.001	0.283	0.01	0.009	0.0	0.575	0.0	0.037	0.0	0.04	0.0	0.0	0.0	0.0
AGAP006935	0.0	0.003	0.0	0.5	0.029	0.323	0.1	0.372	0.085	0.016	0.006	0.005	0.001	0.0	0.0	0.01	0.001	0.0
AGAP010313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.476	0.32	0.489	0.256	0.068	0.026	0.0	0.198	0.0
AGAP006729	0.0	0.001	0.0	0.0	0.025	0.0	0.681	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.103	0.833	0.0	0.0
AGAP005978	0.0	0.06	0.0	0.0	0.0	0.125	0.584	0.184	0.038	0.541	0.0	0.906	0.0	0.356	0.0	0.008	0.0	0.0
AGAP010886	0.0	0.085	0.0	0.005	0.398	0.897	0.121	0.488	0.307	0.696	0.842	0.815	0.378	0.357	0.085	0.452	0.025	0.0
AGAP013510	0.0	0.029	0.908	0.0	0.005	0.626	0.024	0.453	0.697	0.017	0.015	0.0	0.0	0.005	0.004	0.103	0.851	0.0
AGAP005898	0.0	0.0	0.322	0.0	0.0	0.89	0.136	0.921	0.196	0.095	0.012	0.002	0.0	0.001	0.0	0.535	0.016	0.001
AGAP008288	0.0	0.743	0.0	0.0	0.0	0.14	0.891	0.459	0.0	0.059	0.0	0.208	0.0	0.002	0.0	0.0	0.0	0.0
AGAP006961	0.0	0.002	0.0	0.086	0.0	0.0	0.002	0.001	0.004	0.245	0.286	0.1	0.086	0.999	0.773	0.0	0.004	0.0
AGAP003373	0.0	0.0	0.236	0.247	0.166	0.0	0.0	0.0	0.0	0.008	0.872	0.03	0.873	0.853	0.133	0.038	0.0	0.0
AGAP001956	0.0	0.509	0.831	0.282	0.0	0.0	0.0	0.0	0.0	0.166	0.063	0.467	0.489	0.134	0.057	0.0	0.0	0.0
AGAP002041	0.0	0.008	0.0	0.168	0.718	0.27	0.354	0.832	0.182	0.003	0.023	0.02	0.065	0.016	0.056	0.011	0.757	0.0
AGAP000792	0.0	0.0	0.0	0.003	0.0	0.094	0.186	0.223	0.211	0.0	0.023	0.11	0.239	0.0	0.001	0.012	0.0	0.008
AGAP003933	0.0	0.029	0.0	0.253	0.219	0.563	0.713	0.644	0.315	0.353	0.177	0.329	0.194	0.483	0.147	0.058	0.835	0.0
AGAP000562	0.0	0.001	0.585	0.219	0.004	0.646	0.043	0.792	0.947	0.001	0.095	0.002	0.07	0.0	0.003	0.108	0.049	0.0
AGAP008083	0.0	0.197	0.0	0.0	0.004	0.293	0.002	0.004	0.068	0.283	0.2	0.035	0.746	0.073	0.134	0.19	0.253	0.0
AGAP011318	0.0	0.0	0.0	0.287	0.066	0.662	0.73	0.345	0.087	0.979	0.036	0.999	0.085	0.307	0.016	0.053	0.769	0.0
AGAP006699	0.0	0.0	0.717	0.0	0.248	0.0	0.562	0.337	0.294	0.098	0.096	0.125	0.029	0.002	0.43	0.0	0.0	0.0
