GeneID	Tiefora_v_Ngousso_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kisumu_log2FoldChange	VK7_v_Kisumu_log2FoldChange	Cameroon_v_Ngousso_log2FoldChange	Chad_v_Ngousso_log2FoldChange	Niger_v_Ngousso_log2FoldChange	Nigeria_v_Ngousso_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_Ngousso_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_Ngousso_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_Ngousso_log2FoldChange	Bouake_gamb_unexp_v_Kisumu_log2FoldChange	Bouake_colu_unexp_v_Ngousso_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	GeneName	GeneDescription
AGAP007364	0	0.003	0	0.028	0.009	0	0.807	0.013	0.005	0.566	0.003	0.219	0	0.001	0	0.003	0	0	""	""
AGAP007774	0	0	0.334	0.232	0	0.714	0.875	0.662	0.51	0.625	0	0.301	0	0.039	0	0.171	0	0	""	""
AGAP005809	0	0	0.548	0	0	0.092	0.299	0.533	0.892	0.493	0.737	0.283	0.359	0.036	0.057	0.134	0.337	0.001	""	protein phosphatase inhibitor 2 [Source:VB Community Annotation]
AGAP006191	0	0.001	0.383	0	0	0	0	0	0	0	0.014	0	0	0	0	0.509	0	0.323	Cht24	chitinase [Source:VB Community Annotation]
AGAP002865	0	0	0.005	0	0	0	0.166	0.441	0.734	0	0	0	0	0	0	0.079	0	0	CYP6P3	cytochrome P450 [Source:VB Community Annotation]
AGAP012091	0	0	0.627	0	0	0	0.018	0.001	0.001	0.913	0.762	0.246	0.494	0.062	0.131	0	0	0	""	""
AGAP010794	0	0	0	0.011	0.314	0	0	0	0	0.106	0.496	0.002	0.735	0.153	0.476	0.352	0	0	""	""
AGAP028564	0	0.003	0.013	0	0	0.846	0.906	0.526	0.659	0.071	0.001	0.039	0.003	0.216	0	0	0.153	0	""	""
AGAP006089	0	0	0.072	0	0	0.825	0.176	0.718	0.863	0.395	0.187	0.368	0.145	0.079	0.018	0.934	0.326	0	""	RNA binding protein fox-1 [Source:VB Community Annotation]
AGAP007285	0	0.006	0.031	0.603	0.048	0.88	0.003	0	0	0	0.075	0	0.021	0	0.011	0	0.971	0.009	""	alpha-L-fucosidase [Source:VB Community Annotation]
AGAP006017	0	0	0.525	0	0	0.584	0.442	0.754	0.857	0	0.006	0	0.006	0	0	0.074	0.758	0	""	serine/threonine-protein phosphatase 6 regulatory subunit 3 [Source:VB Community Annotation]
AGAP010975	0	0	0	0.437	0.736	0	0.001	0	0	0	0	0.007	0.006	0.412	0.427	0	0.041	0	""	""
AGAP000743	0	0	0	0.324	0.918	0	0.002	0	0	0.276	0.02	0.334	0.793			0	0.119	0	""	""
AGAP005783	0	0	0.114	0	0	0.555	0.432	0	0	0.059	0.009	0.001	0	0	0	0.342	0.714	0	""	""
AGAP008291	0	0.331	0	0.038	0.001	0	0.021	0	0							0.083	0	0	TRYP5	trypsin 5 [Source:VB Community Annotation]
AGAP001194	0	0.013	0	0.174	0.645	0.686	0.782	0.964	0.817	0.132	0.584	0.122	0.478	0.137	0.554	0.083	0.464	0	""	""
AGAP008331	0	0.868	0	0	0	0	0	0	0	0.076	0.007	0.307	0.057	0.458	0.11	0	0	0	""	WD repeat-containing protein 59 [Source:VB Community Annotation]
AGAP000363	0	0	0	0.193	0.008	0.555	0.597	0.201	0.037	0.899	0.553	0.987	0.436	0.89	0.375	0.006	0.696	0	""	""
AGAP000037	0	0.039	0	0.062	0.847	0.164	0.605	0.461	0.042	0	0	0	0	0	0	0.006	0.765	0	""	""
AGAP011475	0	0	0.001	0.008	0.261	0	0	0	0.008	0.891	0.2	0.414		0.149	0.005	0.008	0	0	""	Envelysin [Source:VB Community Annotation]
