GeneID	Tiefora_v_Ngousso_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kisumu_log2FoldChange	VK7_v_Kisumu_log2FoldChange	Cameroon_v_Ngousso_log2FoldChange	Chad_v_Ngousso_log2FoldChange	Niger_v_Ngousso_log2FoldChange	Nigeria_v_Ngousso_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_Ngousso_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_Ngousso_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_Ngousso_log2FoldChange	Bouake_gamb_unexp_v_Kisumu_log2FoldChange	Bouake_colu_unexp_v_Ngousso_log2FoldChange	BusiaSurvivors_v_Kisumu_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	Gou_v_Moz_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	GeneName	GeneDescription
AGAP007364	0	0.003	0	0.028	0.009	0	0.786	0.014	0.005	0.576	0.001	0.211	0	0.001	0	0.003	0	0	0.007	0.001	0.046	0	0.719	0.256	0.01	0.908	0.137	0.792	""	""
AGAP010071	0	0	0.147	0.001	0	0	0	0	0	0.163	0	0.446	0	0.519	0	0.426	0	0.721	0.008	0.11	0.252	0.198	0.212	0	0.04	0.002	0.269	0.001	""	acyl-CoA synthetase [Source:VB Community Annotation]
AGAP007774	0	0	0.337	0.243	0	0.734	0.886	0.683	0.51	0.614	0	0.272	0	0.03	0	0.169	0	0	0.002	0.725	0.001	0.027	0	0	0.158	0.823	0.549	0.966	""	""
AGAP005809	0	0	0.577	0	0	0.094	0.282	0.552	0.891	0.482	0.744	0.264	0.36	0.031	0.054	0.116	0.297	0	0	0.004	0.519	0	0.313	0	0.069	0.305	0.056	0.083	""	protein phosphatase inhibitor 2 [Source:VB Community Annotation]
AGAP006191	0	0.001	0.397	0	0	0	0	0	0	0	0.027	0	0	0.002	0.02	0.499	0	0.321	0.239	0	0.001	0	0.019	0.389	0.055	0.006	0.002	0.595	Cht24	chitinase [Source:VB Community Annotation]
AGAP002865	0	0	0.005	0	0	0	0.159	0.432	0.729	0	0	0	0	0	0	0.077	0	0	0	0	0	0.278	0.002	0	0	0	0	0	CYP6P3	cytochrome P450 [Source:VB Community Annotation]
AGAP028564	0	0.002	0.013	0	0	0.843	0.905	0.521	0.648	0.074	0.001	0.041	0.003	0.216	0	0	0.144	0	0.587	0.474	0.803	0.109	0.205	0.084	0.087	0.181	0.779	0.376	""	""
AGAP010794	0	0	0	0.012	0.329	0	0	0	0	0.115	0.508	0.002	0.739	0.166	0.462	0.341	0	0	0.708	0.894	0.379	0.027	0.219	0.663	0.824	0.244	0.405	0.063	""	""
AGAP007285	0	0.006	0.031	0.613	0.053	0.888	0.003	0	0	0	0.078	0	0.022	0	0.011	0	0.97	0.008	0.005	0.865	0	0.067	0	0.647	0.18	0.429	0.576	0.825	""	alpha-L-fucosidase [Source:VB Community Annotation]
AGAP008218	0	0.146	0	0	0	0	0.007	0	0	0.007	0	0.386	0.01	0.577	0.033	0	0	0.068	0	0	0.011	0.002	0	0.428	0.966	0.033	0.157	0.393	CYP6Z2	cytochrome P450 [Source:VB Community Annotation]
