GeneID	Tiefora_v_NG_log2FoldChange	Gou_v_Moz_log2FoldChange	Ban_v_BanS_log2FoldChange	BanRe_v_BanS_log2FoldChange	Bak_v_Kis_log2FoldChange	VK7_v_Kis_log2FoldChange	Cameroon_v_NG_log2FoldChange	Chad_v_NG_log2FoldChange	Niger_v_NG_log2FoldChange	Nigeria_v_NG_log2FoldChange	Agboville_v_Mali_log2FoldChange	Agboville_v_NG_log2FoldChange	Dabou_v_Mali_log2FoldChange	Dabou_v_NG_log2FoldChange	Tiassale_v_Mali_log2FoldChange	Tiassale_v_NG_log2FoldChange	Cam_fun_v_Fang_log2FoldChange	Fumoz_v_Fang_log2FoldChange	Ghana_fun_v_Fang_log2FoldChange	Malawi_fun_v_Fang_log2FoldChange	Uganda_fun_v_Fang_log2FoldChange	Asendabo_v_Moz_log2FoldChange	Chewaka_v_Moz_log2FoldChange	Tolay_v_Moz_log2FoldChange	Ethiopia_v_Dongola_log2FoldChange	GeneName	GeneDescription
AGAP007364	0	0.698	0.004	0	0.031	0.019	0.002	0.58	0.06	0.024	0.503	0.079	0.062	0.002	0.001	0	0.455	0.015	0.992	0.144	0.991	0.024	0.003	0.143	0	""	""
AGAP010071	0	0.386	0	0.267	0.003	0	0	0	0	0	0.207	0	0.491	0	0.573	0	0	0.039	0.001	0.211	0.001	0.003	0.091	0.076	0.18	""	acyl-CoA synthetase [Source:VB Community Annotation]
AGAP007774	0	0.004	0	0.536	0.425	0.003	0.952	0.876	0.971	0.988	0.661	0	0.353	0	0.056	0	0	0.339	0.944	0.737	0.805	0.001	0.667	0.001	0.031	""	""
AGAP006191	0	0.001	0	0.255	0.003	0	0	0	0	0	0	0.019	0	0	0.002	0.021	0.443	0.048	0.011	0	0.545	0.222	0	0.001	0	Cht24	chitinase [Source:VB Community Annotation]
AGAP005809	0	0.353	0	0.426	0.001	0	0.228	0.119	0.789	0.83	0.518	0.577	0.338	0.347	0.047	0.043	0	0.048	0.308	0.075	0.06	0.002	0.008	0.925	0.001	""	protein phosphatase inhibitor 2 [Source:VB Community Annotation]
AGAP010313	0	0.356	0	0	0	0	0	0	0	0	0.501	0.251	0.533	0.246	0.075	0.019	0.317	0.252	0.168	0.539	0.183	0	0.013	0.106	0.126	""	serine/threonine-protein kinase ATR [Source:VB Community Annotation]
AGAP002865	0	0.015	0	0.019	0	0	0	0.067	0.309	0.79	0	0	0	0	0	0	0.194	0.143	0	0.034		0	0	0	0.411	CYP6P3	cytochrome P450 [Source:VB Community Annotation]
AGAP010794	0	0.502	0	0	0.021	0.441	0	0	0.005	0	0.124	0.449	0.002	0.709	0.159	0.452	0.866	0.594	0.332	0.341	0.17	0.609	0.957	0.259	0.087	""	""
AGAP008288	0	0	0.938	0.008	0	0	0.322	0.791	0.456	0	0.066	0	0.203	0	0.002	0	0.223	0.088	0.211	0.109	0.162	0	0.025	0.212	0.027	TIM	timeless [Source:VB Community Annotation]
AGAP000743	0	0.83	0.007	0	0.293	0.973	0	0.001	0	0	0.333	0.019	0.341	0.846			0.656	0.185	0.156	0.144	0.432	0	0	0	0	""	""
