GeneID	GeneName	GeneDescription	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu	Asendabo_v_Moz	Chewaka_v_Moz	Tolay_v_Moz	Ethiopia_v_Dongola	Gou_v_Moz	Cam_fun_v_Fang	Fumoz_v_Fang	Ghana_fun_v_Fang	Malawi_fun_v_Fang	Uganda_fun_v_Fang
AGAP007364			-2.61	-1.02	1.32	0.42	0.89	-1.03	0.12	-1.44	-1.0	-0.53	-2.29	-1.02	-2.79	-2.3	-4.05	-0.9	-2.0	1.46	0.69	1.02	0.65	-1.1	-0.14	-0.21	0.71	-0.04	0.41	-0.06
AGAP010071		acyl-CoA synthetase [Source:VB Community Annotation]	-2.32	-2.3	-0.37	-0.36	-0.59	-1.86	-1.82	-1.66	-1.71	-0.52	-2.18	-0.29	-1.97	-0.28	-1.94	0.14	-2.44	-0.05	-0.5	-0.31	-0.24	-0.48	0.31	0.71	0.99	0.58	0.41	0.67
AGAP007774			-1.77	-0.93	-0.2	-0.17	-0.46	-0.11	-0.06	-0.12	-0.11	-0.13	-1.37	-0.24	-1.49	-0.39	-1.63	-0.29	-1.25	1.29	-0.93	-0.13	-0.85	-0.52	-0.61	-0.66	-0.32	-0.04	-0.16	0.02
AGAP005809		protein phosphatase inhibitor 2 [Source:VB Community Annotation]	-2.01	-1.8	0.1	-1.06	-1.5	-0.46	0.25	-0.18	-0.04	-0.2	-0.09	-0.36	-0.26	-0.58	-0.46	-0.19	0.09	-0.26	0.52	0.45	0.11	0.75	-0.18	0.44	0.32	0.18	0.28	0.2
AGAP006191	Cht24	chitinase [Source:VB Community Annotation]	3.89	2.37	0.69	-1.38	1.94	5.46	5.67	5.43	4.95	-5.23	2.44	-3.89	3.76	-4.45	3.21	-0.53	5.95	0.63	-0.46	-3.44	-1.31	6.59	-1.91	-0.73	-3.79	-1.25	-2.9	-0.67
AGAP002865	CYP6P3	cytochrome P450 [Source:VB Community Annotation]	4.26	1.36	-0.76	2.03	3.9	1.26	1.87	0.41	-0.32	3.82	5.98	4.07	6.22	4.28	6.45	1.0	5.19	-3.39	2.41	4.7	2.85	0.47	1.07	1.46	5.19	3.58	5.44	2.61
AGAP028564			-7.15	4.46	3.87	-5.77	-8.6	0.48	-0.29	1.07	0.72	4.32	-4.13	4.68	-3.79	3.7	-4.73	-1.42	-1.13	-3.75	-0.51	-0.66	0.24	-1.11	2.93	0.58	-1.04	0.83	0.2	0.5
AGAP010794			-2.29	-3.03	-1.41	0.71	-0.34	-1.64	-1.51	-1.39	-2.11	0.72	-0.33	0.93	-0.13	0.68	-0.37	-0.25	-1.19	0.66	-0.12	0.06	-0.27	0.68	0.25	-0.09	0.07	-0.33	0.16	-0.25
AGAP007285		alpha-L-fucosidase [Source:VB Community Annotation]	2.82	0.82	-0.57	0.17	-0.61	-0.09	1.94	2.22	1.55	2.28	-1.12	2.04	-1.37	2.07	-1.32	-0.72	-0.02	-0.39	-0.53	-0.05	-0.7	0.71	1.55	0.1	0.25	0.16	0.16	-0.13
AGAP008218	CYP6Z2	cytochrome P450 [Source:VB Community Annotation]	2.64	0.58	-2.17	2.55	4.33	3.46	1.54	2.07	1.5	1.35	2.11	0.46	1.2	0.34	1.1	1.32	6.89	0.59	1.27	1.98	0.7	-0.85	1.14	-0.2	-0.02	0.52	0.55	0.45
