GeneID	GeneName	GeneDescription	Tiefora_v_Ngousso	Ban_v_BanS	BanRe_v_BanS	Bak_v_Kisumu	VK7_v_Kisumu	Cameroon_v_Ngousso	Chad_v_Ngousso	Niger_v_Ngousso	Nigeria_v_Ngousso	Agboville_v_Mali	Agboville_v_Ngousso	Dabou_v_Mali	Dabou_v_Ngousso	Tiassale_v_Mali	Tiassale_v_Ngousso	Bouake_gamb_unexp_v_Kisumu	Bouake_colu_unexp_v_Ngousso	BusiaSurvivors_v_Kisumu	Asendabo_v_Moz	Chewaka_v_Moz	Tolay_v_Moz	Ethiopia_v_Dongola	Gou_v_Moz
AGAP007364			0.0	0.003	0.0	0.028	0.009	0.0	0.787	0.014	0.005	0.577	0.001	0.212	0.0	0.001	0.0	0.003	0.0	0.0	0.007	0.001	0.049	0.0	0.718
AGAP010071		acyl-CoA synthetase [Source:VB Community Annotation]	0.0	0.0	0.15	0.001	0.0	0.0	0.0	0.0	0.0	0.163	0.0	0.448	0.0	0.521	0.0	0.425	0.0	0.725	0.008	0.108	0.259	0.202	0.212
AGAP007774			0.0	0.0	0.344	0.244	0.0	0.736	0.887	0.684	0.52	0.615	0.0	0.273	0.0	0.031	0.0	0.17	0.0	0.0	0.002	0.721	0.001	0.028	0.0
AGAP005809		protein phosphatase inhibitor 2 [Source:VB Community Annotation]	0.0	0.0	0.593	0.0	0.0	0.095	0.283	0.553	0.896	0.483	0.746	0.265	0.362	0.032	0.055	0.116	0.297	0.0	0.0	0.004	0.536	0.0	0.312
AGAP006191	Cht24	chitinase [Source:VB Community Annotation]	0.0	0.001	0.406	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.002	0.02	0.499	0.0	0.321	0.239	0.0	0.001	0.0	0.019
AGAP002865	CYP6P3	cytochrome P450 [Source:VB Community Annotation]	0.0	0.0	0.006	0.0	0.0	0.0	0.159	0.433	0.737	0.0	0.0	0.0	0.0	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.283	0.002
AGAP028564			0.0	0.002	0.013	0.0	0.0	0.845	0.906	0.522	0.658	0.075	0.001	0.042	0.003	0.412	0.0	0.0	0.145	0.0	0.588	0.469	0.815	0.111	0.205
AGAP010794			0.0	0.0	0.0	0.012	0.329	0.0	0.0	0.0	0.0	0.115	0.509	0.002	0.741	0.166	0.463	0.341	0.0	0.0	0.708	0.892	0.392	0.028	0.219
AGAP007285		alpha-L-fucosidase [Source:VB Community Annotation]	0.0	0.006	0.032	0.612	0.053	0.889	0.003	0.0	0.0	0.0	0.078	0.0	0.022	0.0	0.011	0.0	0.97	0.008	0.005	0.863	0.0	0.068	0.0
AGAP008218	CYP6Z2	cytochrome P450 [Source:VB Community Annotation]	0.0	0.147	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.007	0.0	0.387	0.01	0.578	0.033	0.0	0.0	0.068	0.0	0.0	0.012	0.002	0.0
AGAP006017		serine/threonine-protein phosphatase 6 regulatory subunit 3 [Source:VB Community Annotation]	0.0	0.0	0.569	0.0	0.0	0.605	0.423	0.772	0.861	0.0	0.006	0.0	0.006	0.0	0.0	0.076	0.766	0.0	0.0	0.0	0.0	0.71	0.096
AGAP000743			0.0	0.0	0.0	0.326	0.927	0.0	0.002	0.0	0.0	0.273	0.021	0.339	0.802			0.0	0.112	0.0	0.0	0.0	0.0	0.0	0.94
AGAP005783			0.0	0.0	0.13	0.0	0.0	0.582	0.437	0.0	0.0	0.06	0.01	0.001	0.0	0.0	0.0	0.34	0.7	0.0	0.536	0.232	0.517	0.0	0.003
AGAP008291	TRYP5	trypsin 5 [Source:VB Community Annotation]	0.0	0.329	0.0	0.039	0.001	0.0	0.022	0.0	0.0	0.0	0.0	0.056	0.092	0.194	0.195	0.08	0.0	0.0	0.002	0.0	0.0	0.003	0.0
AGAP008331		WD repeat-containing protein 59 [Source:VB Community Annotation]	0.0	0.869	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.084	0.007	0.313	0.058	0.488	0.107	0.0	0.0	0.0	0.483	0.085	0.053	0.893	0.468
AGAP000363			0.0	0.0	0.0	0.188	0.008	0.545	0.581	0.215	0.04	0.893	0.546	0.995	0.445	0.916	0.372	0.006	0.686	0.0	0.0	0.0	0.0	0.629	0.552
AGAP011475		Envelysin [Source:VB Community Annotation]	0.0	0.0	0.001	0.008	0.271	0.0	0.0	0.0	0.008	0.903	0.197	0.407		0.153	0.005	0.007	0.0	0.0	0.347	0.276		0.003	0.0
AGAP000037			0.0	0.039	0.0	0.062	0.859	0.159	0.588	0.481	0.044	0.004	0.945	0.003	0.825	0.001	0.502	0.006	0.754	0.0	0.0	0.0	0.0	0.131	0.485
AGAP006339			0.0	0.0	0.008	0.205	0.576	0.931	0.661	0.001	0.0	0.246	0.786	0.5	0.584	0.208	0.953	0.083	0.829	0.069	0.604	0.338	0.499	0.948	0.471
AGAP010313		serine/threonine-protein kinase ATR [Source:VB Community Annotation]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.455	0.332	0.46	0.279	0.063	0.029	0.0	0.184	0.0	0.0	0.008	0.192	0.138	0.324
AGAP006935			0.0	0.003	0.0	0.518	0.028	0.34	0.086	0.377	0.085	0.014	0.006	0.005	0.001	0.0	0.0	0.01	0.001	0.0	0.0	0.0	0.0	0.592	0.0
AGAP005978		zinc finger and SCAN domain containing 2 [Source:VB Community Annotation]	0.0	0.057	0.0	0.0	0.0	0.135	0.545	0.186	0.039	0.569	0.0	0.879	0.0	0.33	0.0	0.008	0.0	0.0	0.643	0.443	0.989	0.368	0.437
AGAP006729		Ester hydrolase C11orf54 [Source:VB Community Annotation]	0.0	0.001	0.0	0.0	0.025	0.0	0.671	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.091	0.83	0.0	0.0	0.0	0.0	0.0	0.0	0.135
AGAP008288	TIM	timeless [Source:VB Community Annotation]	0.0	0.732	0.0	0.0	0.0	0.149	0.87	0.468	0.0	0.066	0.0	0.208	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.01	0.486	0.004	0.0
AGAP006961		molecular chaperone HtpG [Source:VB Community Annotation]	0.0	0.002	0.0	0.087	0.0	0.0	0.002	0.001	0.004	0.233	0.305	0.092	0.092	0.979	0.708	0.0	0.005	0.0	0.0	0.001	0.246	0.0	0.0
AGAP000792		Adenosylhomocysteinase [Source:UniProtKB/TrEMBL;Acc:Q7QE71]	0.0	0.0	0.0	0.003	0.0	0.09	0.163	0.224	0.207	0.0	0.025	0.104	0.24	0.0	0.001	0.012	0.0	0.01	0.0	0.164	0.004	0.817	0.013
AGAP003373	SCRB17	Class B Scavenger Receptor (CD36 domain) [Source:VB Community Annotation]	0.0	0.0	0.229	0.257	0.174	0.0	0.0	0.0	0.0	0.008	0.871	0.029	0.873	0.827	0.115	0.037	0.0	0.0	0.0	0.0	0.002	0.618	0.0
AGAP003933			0.0	0.029	0.0	0.238	0.238	0.567	0.705	0.655	0.314	0.347	0.161	0.313	0.175	0.469	0.132	0.054	0.864	0.0	0.0	0.0	0.0	0.475	0.699
AGAP008083			0.0	0.193	0.0	0.0	0.004	0.305	0.001	0.004	0.066	0.279	0.186	0.034	0.706	0.067	0.117	0.187	0.278	0.0	0.949	0.0	0.05	0.35	0.064
