GeneID	GeneName	GeneDescription
AGAP000002	KIBRLG	WW domain-containing protein [Source:VB Community Annotation]
AGAP000005		high mobility group protein B1 [Source:VB Community Annotation]
AGAP000007	IGL1	contactin-like putative cell adhesion molecule [Source:VB Community Annotation]
AGAP000008		DnaJ (Hsp40) homolog subfamily A member 1 [Source:VB Community Annotation]
AGAP000009		syntaxin-binding protein [Source:VB Community Annotation]
AGAP000010		ethanolamine kinase [Source:VB Community Annotation]
AGAP000011		branched-chain-amino-acid aminotransferase 2 [Source:VB Community Annotation]
AGAP000012	TTRNA1	tyrosyl-tRNA synthetase [Source:VB Community Annotation]
AGAP000013		
AGAP000014		
AGAP000015		proto-oncogene tyrosine-protein kinase ROS [Source:VB Community Annotation]
AGAP000016	SCRB10	Class B Scavenger Receptor (CD36 domain). [Source:VB Community Annotation]
AGAP000017		
AGAP000018		phosphatidylinositol-4,5-bisphosphate 3-kinase [Source:VB Community Annotation]
AGAP000019		chaoptin [Source:VB Community Annotation]
AGAP000021		
AGAP000022		amino acid transporter protein [Source:VB Community Annotation]
AGAP000023		
AGAP000025		
AGAP000028		calcium/calmodulin-dependent protein kinase (CaM kinase) II [Source:VB Community Annotation]
AGAP000029		E1A/CREB-binding protein [Source:VB Community Annotation]
AGAP000032		
AGAP000033		Protein retinal degeneration B [Source:VB Community Annotation]
AGAP000035		
AGAP000037		
AGAP000038		gamma-aminobutyric acid receptor subunit beta [Source:VB Community Annotation]
AGAP000039		gamma-aminobutyric acid receptor subunit alpha [Source:VB Community Annotation]
AGAP000040		
AGAP000041		
AGAP000042		Histone-lysine N-methyltransferase [Source:UniProtKB/TrEMBL;Acc:Q5TUT6]
AGAP000043		tousled-like kinase [Source:VB Community Annotation]
AGAP000044		thioredoxin domain-containing protein [Source:VB Community Annotation]
AGAP000045	GPROAR1	putative octopamine receptor 1 [Source:VB Community Annotation]
AGAP000046		
AGAP000047	CPR130	cuticular protein RR-2 family 130 [Source:VB Community Annotation]
AGAP000048		
AGAP000049		
AGAP000051	HPX5	heme peroxidase 5 [Source:VB Community Annotation]
AGAP000053		Mannose-6-phosphate isomerase [Source:UniProtKB/TrEMBL;Acc:Q7QEL8]
AGAP000056		neuronal PAS domain-containing protein [Source:VB Community Annotation]
AGAP000057		paired box protein [Source:VB Community Annotation]
AGAP000058		
AGAP000061		One cut domain family member [Source:UniProtKB/TrEMBL;Acc:A0NCM1]
AGAP000062		
AGAP000063		paired box protein [Source:VB Community Annotation]
AGAP000064	plexA	plexin A [Source:VB Community Annotation]
AGAP000065		
AGAP000066		
AGAP000067		
AGAP000068	NFI	nuclear factor I [Source:VB Community Annotation]
AGAP000069		
AGAP000070		protein kinase [Source:VB Community Annotation]
AGAP000071		
AGAP000072		
AGAP000073		gamma-sarcoglycan [Source:VB Community Annotation]
AGAP000074		
AGAP000075		otopetrin [Source:VB Community Annotation]
AGAP000076		sterol regulatory element-binding transcription factor 1 [Source:VB Community Annotation]
AGAP000078		
AGAP000079		
AGAP000080		
AGAP000081		glucuronyl/N-acetylglucosaminyl transferase [Source:VB Community Annotation]
AGAP000082		translation initiation factor eIF-2B subunit epsilon [Source:VB Community Annotation]
AGAP000085	CPR129	cuticular protein RR-2 family 129 [Source:VB Community Annotation]
AGAP000088	CYP4H19	cytochrome P450 [Source:VB Community Annotation]
AGAP000090		adenylate cyclase [Source:VB Community Annotation]
AGAP000091		methylsterol monooxygenase [Source:VB Community Annotation]
AGAP000092		methylsterol monooxygenase [Source:VB Community Annotation]
AGAP000093		
AGAP000094		4-nitrophenylphosphatase [Source:VB Community Annotation]
AGAP000095		anoctamin 5 [Source:VB Community Annotation]
AGAP000096		
AGAP000097		solute carrier family 25 [Source:VB Community Annotation]
AGAP000098	APG1	autophagy related gene [Source:VB Community Annotation]
AGAP000099	STAT2	JAKSTAT pathway signalling transcription factor [Source:VB Community Annotation]
AGAP000100		
AGAP000102		alpha-1,6-mannosyltransferase [Source:VB Community Annotation]
AGAP000104		
AGAP000105		
AGAP000106		Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial [Source:UniProtKB/TrEMBL;Acc:Q7QER0]
AGAP000107		
AGAP000108	OEH	ovary ecdysteroidogenic hormone [Source:VB Community Annotation]
AGAP000109		cytochrome c oxidase subunit VIIa [Source:VB Community Annotation]
AGAP000110	mRpL40	39S ribosomal protein L40, mitochondrial [Source:VB Community Annotation]
AGAP000111		
AGAP000112		NAD+ synthase (glutamine-hydrolysing) [Source:VB Community Annotation]
AGAP000113		
AGAP000114		ovo [Source:VB Community Annotation]
AGAP000115	GPRNPY4	putative neuropeptide Y receptor 4 [Source:VB Community Annotation]
AGAP000116		Rab11 family-interacting protein 1/2/5 [Source:VB Community Annotation]
AGAP000117		Wnt inhibitory factor 1000117] [Source:VB Community Annotation]
AGAP000118		ubiquinone biosynthesis monooxygenase Coq7 [Source:VB Community Annotation]
AGAP000119		golgi to ER traffic protein 4 homolog [Source:VB Community Annotation]
AGAP000120		tubulin folding cofactor B [Source:VB Community Annotation]
AGAP000121		
AGAP000123	CTLSE2	C-type lectin (CTL) [Source:VB Community Annotation]
AGAP000124		inositol polyphosphate-4-phosphatase [Source:VB Community Annotation]
AGAP000126		
AGAP000127		zinc finger protein-like 1 homolog [Source:VB Community Annotation]
AGAP000128		MFS transporter, VNT family, synaptic vesicle glycoprotein 2 [Source:VB Community Annotation]
AGAP000129		
AGAP000131		
AGAP000132		
AGAP000133		
AGAP000136		tetratricopeptide repeat domain 21B [Source:VB Community Annotation]
AGAP000137		solute carrier family 45, member 1/2/4 [Source:VB Community Annotation]
AGAP000138	alpha4	nicotinic acetylcholine receptor subunit alpha 4 [Source:VB Community Annotation]
AGAP000139		DNA polymerase gamma [Source:VB Community Annotation]
AGAP000140	IR100a	ionotropic receptor IR100a [Source:VB Community Annotation]
AGAP000141		
AGAP000142		
AGAP000143		beta-mannosidase [Source:VB Community Annotation]
AGAP000144		progestin and adipoQ receptor family member 3 [Source:VB Community Annotation]
AGAP000145		ubiquitin-conjugating enzyme E2D [Source:VB Community Annotation]
AGAP000146		
AGAP000147		PDZ-binding kinase [Source:VB Community Annotation]
AGAP000149		Ras association domain-containing protein 2/4 [Source:VB Community Annotation]
AGAP000150	SG6	salivary gland protein 6 [Source:VB Community Annotation]
AGAP000151		
AGAP000152		
AGAP000153		
AGAP000154		AMP dependent ligase [Source:VB Community Annotation]
AGAP000155		alkylated DNA repair protein alkB homolog [Source:VB Community Annotation]
AGAP000156		
AGAP000158		histone arginine demethylase [Source:VB Community Annotation]
AGAP000159		Kinesin-like protein [Source:UniProtKB/TrEMBL;Acc:Q7PRX2]
AGAP000160		
AGAP000161		Adaptor-related protein complex 3, delta 1 subunit [Source:VB Community Annotation]
AGAP000162		Cystathionine beta-synthase [Source:UniProtKB/TrEMBL;Acc:Q7QEV0]
AGAP000163	GSTMS2	glutathione transferase microsomal 2 [Source:VB Community Annotation]
AGAP000164		
AGAP000165	GSTMS1	glutathione transferase microsomal 1 [Source:VB Community Annotation]
AGAP000166		
AGAP000167		Lipid storage droplets surface-binding protein 2 [Source:VB Community Annotation]
AGAP000168	GPRFZ3	putative frizzled receptor 3 [Source:VB Community Annotation]
AGAP000169		fanconi anemia group M protein [Source:VB Community Annotation]
AGAP000170		NADH dehydrogenase (ubiquinone) Fe-S protein 7 [Source:VB Community Annotation]
AGAP000171		E3 ubiquitin-protein ligase [Source:VB Community Annotation]
AGAP000173		
AGAP000177	CPR128	cuticular protein RR-2 family 128 [Source:VB Community Annotation]
AGAP000178		splicing factor 3B subunit 1 [Source:VB Community Annotation]
AGAP000179		Amidophosphoribosyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7QEW3]
AGAP000180		phosphoribosylaminoimidazole carboxylase [Source:VB Community Annotation]
AGAP000181		riboflavin transporter 2 [Source:VB Community Annotation]
AGAP000182		
AGAP000183		
AGAP000184		malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [Source:VB Community Annotation]
AGAP000185		double stranded RNA-specific editase [Source:VB Community Annotation]
AGAP000186		
AGAP000187		
AGAP000188		Uridine phosphorylase [Source:UniProtKB/TrEMBL;Acc:Q7PFX7]
AGAP000189		transcription initiation factor TFIID subunit 3 [Source:VB Community Annotation]
AGAP000190		
AGAP000191		
AGAP000192	CYP4C26	cytochrome P450 [Source:VB Community Annotation]
AGAP000193	CYP4C37	cytochrome P450 [Source:VB Community Annotation]
AGAP000194	CYP4C25	cytochrome P450 [Source:VB Community Annotation]
AGAP000195		cytoplasmic FMR1 interacting protein [Source:VB Community Annotation]
AGAP000196		
AGAP000198	Cht5-5	chitinase [Source:VB Community Annotation]
AGAP000199		phospholipase D3/4 [Source:VB Community Annotation]
AGAP000200		
AGAP000201		26S proteasome non-ATPase regulatory subunit 9 [Source:VB Community Annotation]
AGAP000202		
AGAP000203		inositol-1,4,5-trisphosphate 5-phosphatase [Source:VB Community Annotation]
AGAP000204		
AGAP000205		
AGAP000206		
AGAP000209		glutamate receptor binding protein [Source:VB Community Annotation]
AGAP000210		triacylglycerol lipase [Source:VB Community Annotation]
AGAP000211		triacylglycerol lipase [Source:VB Community Annotation]
AGAP000213		ankyrin repeat and SOCS box protein 17 [Source:VB Community Annotation]
AGAP000214		guanylate cyclase soluble subunit beta [Source:VB Community Annotation]
AGAP000215		homeobox protein OTX [Source:VB Community Annotation]
AGAP000216		
AGAP000217		
AGAP000218		
AGAP000219		Tektin-3 [Source:VB Community Annotation]
AGAP000220		xylulokinase [Source:VB Community Annotation]
AGAP000222		
AGAP000223		
